,film,actor,year
96,The Joneses,Lauren Hutton,2010
97,Just Wright,Queen Latifah,2010
97,Just Wright,Common,2010
97,Just Wright,Paula Patton,2010
98,Kaboom,Roxane Mesquida,2010
98,Kaboom,Thomas Dekker,2010
98,Kaboom,Juno Temple,2010
98,Kaboom,Haley Bennett,2010
98,Kaboom,James Duval,2010
99,The Karate Kid,Jaden Smith,2010
99,The Karate Kid,Jackie Chan,2010
100,Kick-Ass,Aaron Johnson,2010
100,Kick-Ass,Christopher Mintz-Plasse,2010
100,Kick-Ass,Chloë Grace Moretz,2010
100,Kick-Ass,Mark Strong,2010
100,Kick-Ass,Nicolas Cage,2010
101,The Kids Are All Right,Annette Bening,2010
101,The Kids Are All Right,Julianne Moore,2010
101,The Kids Are All Right,Mark Ruffalo,2010
101,The Kids Are All Right,Mia Wasikowska,2010
101,The Kids Are All Right,Josh Hutcherson,2010
102,The Killer Inside Me,Casey Affleck,2010
102,The Killer Inside Me,Kate Hudson,2010
102,The Killer Inside Me,Jessica Alba,2010
102,The Killer Inside Me,Ned Beatty,2010
102,The Killer Inside Me,Elias Koteas,2010
102,The Killer Inside Me,Tom Bower,2010
102,The Killer Inside Me,Simon Baker,2010
102,The Killer Inside Me,Bill Pullman,2010
103,Killers,Katherine Heigl,2010
103,Killers,Ashton Kutcher,2010
104,Knight and Day,Tom Cruise,2010
104,Knight and Day,Cameron Diaz,2010
104,Knight and Day,Maggie Grace,2010
104,Knight and Day,Peter Sarsgaard,2010
104,Knight and Day,Paul Dano,2010
104,Knight and Day,Viola Davis,2010
105,Knucklehead,Mark Feuerstein,2010
105,Knucklehead,Melora Hardin,2010
105,Knucklehead,Big Show,2010
105,Knucklehead,Dennis Farina,2010
105,Knucklehead,Wendie Malick,2010
105,Knucklehead,Rebecca Creskoff,2010
105,Knucklehead,Will Patton,2010
105,Knucklehead,Saul Rubinek,2010
106,The Last Airbender,Noah Ringer,2010
106,The Last Airbender,Nicola Peltz,2010
106,The Last Airbender,Jackson Rathbone,2010
106,The Last Airbender,Dev Patel,2010
106,The Last Airbender,Shaun Toub,2010
106,The Last Airbender,Cliff Curtis,2010
106,The Last Airbender,Katharine Houghton,2010
106,The Last Airbender,Seychelle Gabriel,2010
107,The Last Exorcism,Patrick Fabian,2010
107,The Last Exorcism,Iris Bahr,2010
107,The Last Exorcism,Ashley Bell,2010
108,The Last Song,Miley Cyrus,2010
108,The Last Song,Liam Hemsworth,2010
108,The Last Song,Bobby Coleman,2010
108,The Last Song,Kelly Preston,2010
108,The Last Song,Greg Kinnear,2010
109,Leap Year,Amy Adams,2010
109,Leap Year,Matthew Goode,2010
109,Leap Year,Adam Scott,2010
109,Leap Year,John Lithgow,2010
110,Legend of the Guardians: The Owls of Ga'Hoole,Jim Sturgess,2010
110,Legend of the Guardians: The Owls of Ga'Hoole,Geoffrey Rush,2010
110,Legend of the Guardians: The Owls of Ga'Hoole,Emily Barclay,2010
110,Legend of the Guardians: The Owls of Ga'Hoole,Anthony LaPaglia,2010
110,Legend of the Guardians: The Owls of Ga'Hoole,David Wenham,2010
110,Legend of the Guardians: The Owls of Ga'Hoole,Hugo Weaving,2010
110,Legend of the Guardians: The Owls of Ga'Hoole,Ryan Kwanten,2010
110,Legend of the Guardians: The Owls of Ga'Hoole,Helen Mirren,2010
110,Legend of the Guardians: The Owls of Ga'Hoole,Sam Neill,2010
